Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,26.250000,26.790001,24.260000,25.915001,16.126198,64728400
2012-12-01,25.910000,26.100000,24.330000,25.040001,15.581706,67791400
2013-01-01,25.525000,28.415001,25.504999,28.334999,17.632092,53671800
2013-02-01,28.254999,28.844999,27.150000,28.334999,17.840530,66529600
2013-03-01,28.260000,30.170000,27.655001,30.145000,18.980162,48692000
2013-04-01,30.049999,31.235001,29.299999,30.325001,19.093494,46070000
2013-05-01,30.330000,31.780001,29.670000,29.695000,18.902790,55972400
2013-06-01,29.690001,31.180000,28.055000,31.075001,19.781256,62081800
2013-07-01,31.215000,32.794998,30.535000,31.014999,19.743059,50974400
2013-08-01,31.195000,31.625000,29.059999,29.709999,19.117947,51478800
2013-09-01,29.900000,31.174999,28.825001,30.520000,19.639162,47146200
2013-10-01,30.500000,32.400002,29.565001,31.639999,20.359873,46998400
2013-11-01,31.650000,31.879999,30.285000,31.485001,20.481709,56036200
2013-12-01,31.450001,33.459999,30.385000,33.150002,21.564831,42174800
2014-01-01,33.099998,33.299999,31.510000,33.189999,21.590843,41044000
2014-02-01,33.185001,34.049999,32.220001,33.555000,22.067902,41065000
2014-03-01,33.494999,35.494999,33.095001,34.680000,22.807774,42865600
2014-04-01,34.520000,37.070000,34.514999,36.564999,24.047464,48245000
2014-05-01,36.500000,37.549999,36.224998,37.410000,24.849400,37511600
2014-06-01,37.415001,39.259998,36.599998,39.145000,26.001867,42512400
2014-07-01,39.244999,39.849998,37.259998,37.299999,24.776329,39377800
2014-08-01,37.035000,41.000000,35.549999,40.630001,27.235580,54525300
2014-09-01,40.549999,41.380001,39.009998,40.299999,27.014366,43188900
2014-10-01,40.509998,40.950001,31.650000,36.900002,24.735245,94683500
2014-11-01,36.900002,40.119999,36.250000,37.340000,25.269133,59032200
2014-12-01,36.200001,38.750000,30.709999,36.119999,24.443527,92573100
2015-01-01,36.130001,36.980000,31.030001,34.439999,23.306610,69257400
2015-02-01,34.709999,36.000000,32.549999,33.340000,22.804249,56941400
2015-03-01,33.369999,33.450001,30.709999,32.930000,22.523813,75386800
2015-04-01,32.959999,34.490002,32.410000,34.250000,23.426683,60478300
2015-05-01,34.090000,34.730000,32.419998,32.419998,22.424213,48093400
2015-06-01,32.580002,32.599998,29.530001,29.889999,20.674265,63203400
2015-07-01,29.959999,31.170000,26.910000,28.330000,19.595247,90367700
2015-08-01,28.049999,29.920000,24.620001,28.110001,19.700783,98433200
2015-09-01,27.330000,28.240000,22.010000,24.900000,17.451065,100542100
2015-10-01,25.530001,29.020000,25.090000,27.629999,19.364378,104294500
2015-11-01,27.350000,28.650000,24.320000,25.389999,18.062040,91088300
2015-12-01,25.400000,26.170000,20.760000,25.580000,18.197205,203420500
2016-01-01,25.690001,26.700001,19.000000,23.910000,17.009193,176235000
2016-02-01,23.530001,24.120001,19.639999,23.370001,16.922192,145263300
2016-03-01,23.750000,25.690001,22.680000,24.620001,17.827316,126896900
2016-04-01,24.000000,27.490000,23.559999,26.690001,19.326202,123204400
2016-05-01,26.559999,28.139999,25.139999,27.760000,20.396645,104226800
2016-06-01,27.500000,29.430000,27.230000,29.260000,21.498766,89021100
2016-07-01,29.320000,30.110001,28.129999,28.469999,20.918316,77762600
2016-08-01,28.230000,28.320000,26.120001,26.400000,19.668110,112352300
2016-09-01,26.260000,27.840000,25.760000,27.629999,20.584465,98170300
2016-10-01,27.709999,27.799999,25.100000,25.240000,18.803904,99841300
2016-11-01,25.350000,26.440001,24.010000,25.930000,19.613585,105216100
2016-12-01,26.320000,27.200001,25.139999,27.040001,20.453192,114437800
2017-01-01,27.400000,30.250000,26.700001,28.330000,21.428957,109557900
2017-02-01,28.459999,29.090000,27.610001,28.030001,21.497210,79948700
2017-03-01,28.250000,28.500000,26.830000,27.610001,21.175093,82884600
2017-04-01,27.740000,28.260000,26.920000,27.320000,20.952684,70968000
2017-05-01,27.389999,27.969999,26.110001,26.809999,20.871443,110225000
2017-06-01,26.900000,27.620001,25.780001,27.080000,21.081638,102853400
2017-07-01,27.260000,27.930000,26.680000,27.200001,21.175056,71623000
2017-08-01,27.320000,27.490000,24.840000,26.070000,20.608974,83616500
2017-09-01,26.100000,26.540001,25.360001,26.070000,20.608974,113520400
2017-10-01,26.080000,26.870001,23.840000,24.500000,19.367847,143587900
2017-11-01,24.650000,25.230000,23.590000,24.629999,19.808477,120056100
2017-12-01,24.650000,26.700001,24.100000,26.510000,21.320457,128857200
2018-01-01,26.600000,29.510000,26.360001,27.620001,22.213167,119646800
2018-02-01,27.719999,28.250000,25.299999,25.420000,20.747684,113096300
2018-03-01,25.400000,26.389999,23.100000,24.480000,19.980457,152668400
2018-04-01,24.510000,27.450001,23.780001,26.840000,21.906683,130766600
2018-05-01,26.700001,28.990000,26.190001,28.900000,23.968264,112632200
2018-06-01,28.959999,29.650000,26.959999,27.670000,22.948164,95300600
2018-07-01,27.500000,30.049999,27.200001,29.000000,24.051201,79031100
2018-08-01,29.250000,29.790001,28.389999,28.600000,24.071772,90147800
2018-09-01,28.600000,29.559999,28.420000,28.730000,24.181187,60212200
2018-10-01,28.870001,29.440001,25.850000,26.820000,22.573597,121022000
2018-11-01,26.900000,27.850000,25.520000,26.250000,22.461128,118814800
2018-12-01,26.680000,27.190001,23.330000,24.590000,21.040731,143357000
2019-01-01,24.530001,28.139999,24.230000,27.670000,23.676170,126698200
2019-02-01,27.830000,28.740000,27.160000,27.650000,24.033365,88922500
2019-03-01,27.740000,29.459999,27.570000,29.100000,25.293705,73033100
2019-04-01,29.250000,29.840000,28.570000,28.629999,24.885181,61341800
2019-05-01,29.100000,29.320000,27.600000,27.889999,24.609097,86861700
2019-06-01,27.969999,29.389999,27.900000,28.870001,25.473816,69759600
2019-07-01,29.090000,30.870001,28.650000,30.110001,26.567944,80172200
2019-08-01,30.030001,30.190001,27.670000,28.510000,25.534451,77727700
2019-09-01,28.400000,29.559999,28.129999,28.580000,25.597145,91242600
2019-10-01,28.639999,28.760000,25.910000,26.030001,23.313286,89517700
2019-11-01,26.100000,26.809999,25.040001,26.320000,23.968775,105923700
2019-12-01,26.320000,28.750000,25.530001,28.160000,25.644403,123790900
2020-01-01,28.200001,29.219999,25.760000,25.770000,23.467909,119911600
2020-02-01,25.850000,26.760000,21.950001,23.340000,21.607454,144902500
